label,block,sentence
9,Обязанности,"Мы занимаемся разработкой NLP моделей для анализа новостного потока: NER, entity linking, классификация."
7,Позиция,Сейчас ищем аналитика с уклоном в DS.
9,Обязанности,"Задачи, которые можем предложить на стажировку:"
11,Требования,"• Суммаризация новостей (генерим саммари и смотрим, насколько теряется инфа о событии/заемщике)"
11,Требования,• Тематическое моделирование (мировые тренды)
11,Требования,"• Анализ алгоритмов мэтчинга сущностей, найденных в тексте, с тем, что есть в БД"
11,Требования,Требования:
17,Условия работы,• Умение внятно излагать свои мысли и представлять результаты своей работы
11,Требования,"• Уверенный Python, умение разбираться в чужом коде"
11,Требования,• Понимание основных принципов и алгоритмов классического ML
11,Требования,• Базовое понимание области NLP
11,Требования,"• БД: PostgreSQL, знание ElasticSearch будет плюсом"
15,Доп. Информация,"Стажировка обычно продолжается 3-6 месяцев, но тех, кто норм будет справляться, можно взять на джуна и быстрее."
1,Контакт,Контакты @anton_srk
4,Описание вакансии,Краткое описание
11,Требования,"Ищем дополнительных авторов на курс Математика для МЛ/ДЛ для мотивированных школьников-олимпиадников 9-11 классов, которые уже изучают МЛ/ДЛ, участвуют во всероссийской олимпиаде по анализу данных, но испытывают затруднения из-за нехватки багажа по математике."
12,Зарплата,Вилка: 5-10к чистыми за один урок на 5-10 минут
7,Позиция,Должность: автор материалов курса по математике для школьников
13,Занятость,Занятость: проектная
6,Формат работы,Формат: удаленно + 1-2 дня очно для съемок в ФизтехПарке на Новодачной
4,Описание вакансии,Описание: https://www.notion.so/110c3611eb0c4f62a2fe960f6b6518b4
1,Контакт,Контакт: @LizaZhadik
4,Описание вакансии,Java разработчики в команду интеграции SberCRM – 1С
7,Позиция,1) Java Senior разработчик + Team Lead
7,Позиция,2) Java Senior/Middle разработчик
9,Обязанности,SberCRM – облачное SaaS b2b решение для управления процессом продаж.
3,Название компании,"CRM продаётся как в сегменте малого и среднего бизнеса, так и крупным компаниям."
9,Обязанности,Команда интеграции SberCRM-1С разрабатывает интеграционные решения для улучшения пользовательского опыта и снижения затрат на процессы продаж и документооборота:
9,Обязанности,• Создаёт и дорабатывает модуль CRM по интеграции с учётными системами 1С (самостоятельная и шаблонная интеграции для малого и среднего бизнеса)
16,Стэк разработки,• Реализует проекты по кастомизированной интеграции для крупных предприятий
9,Обязанности,• Организовывает поддержку пользователей.
9,Обязанности,"Задачи, которыми нужно будет заниматься:"
9,Обязанности,"• Участие в проекте в роли разработчика (примеры задач: разработка модуля тарификации, разработка мастера интеграционных конфигураций, написание кода для обмена новыми типами данных, кастомизация кода под конфигурации 1С, доработка существующего решения)"
9,Обязанности,"• Для Team lead: выстраивание процесса разработки, управления разработкой в соответствии с гибкими методологиями, валидация pull requests других разработчиков команды"
9,Обязанности,"• Проектирование технический решений, проработка и валидация его архитектуры (например, выбор способа интеграции: OData vs REST API)"
9,Обязанности,• Разработка автоматизированных и unit тестов
11,Требования,"• Диагностирование ошибок и сбоев, исправление причин."
7,Позиция,Подходящий кандидат на эту позицию:
11,Требования,• Обладает опытом разработки на Java от 3 лет
11,Требования,• Уверенно владеет Java 8 и выше
11,Требования,"• Знает Spring (Core, Boot, MVC, JPA, Security)"
11,Требования,"• Знает SQL и имеет опыт работы с реляционными СУБД, понимает особенности PostgreSQL"
15,Доп. Информация,• Работал с ORM (лучше Hibernate)
17,Условия работы,"• Работал с фреймворками и библиотеками тестирования: JUnit, Mockito"
11,Требования,• Отлично знает GIT.
11,Требования,"Будет преимуществом, если кандидат:"
11,Требования,• Имеет опыт построения сервисов «с нуля» на проектах с микросервисной архитектурой
11,Требования,"• Работал с Apache Kafka, Docker, Kubernetes / OpenShift"
11,Требования,"• Слышал о Istio, ELK/EFK, Spring Cloud"
11,Требования,"• Имел опыт взаимодействия с OData и REST API, системами 1С"
16,Стэк разработки,• Участвовал в проектах по интеграции систем
17,Условия работы,Условия:
17,Условия работы,• Современный Agile-home на Кутузовском проспекте (+ возможность работы удалённо)
3,Название компании,• Работа в организации со статусом «ИТ компании»
3,Название компании,• Возможность профильного обучения за счет компании
17,Условия работы,"• Стабильная, конкурентная «белая» заработная плата (оклад + премии)"
